country	inequality	turnout	energy	socialism
Argentina	2.960	61.8	1,088	2.3
Australia	1.940	85.3	3,918	45.0
Denmark	2.734	86.8	2,829	41.8
Finland	4.441	82.1	1,650	24.9
France	5.653	66.5	2,419	25.1
Germany	3.435	77.6	3,673	27.1
Israel	1.950	84.1	1,243	50.8
Italy	2.196	89.2	1,135	17.0
Japan	3.007	72.3	1,166	27.5
Netherlands	3.457	87.9	2,691	30.8
Norway	2.440	81.9	2,740	52.0
Puerto	Rico	3.693	73.3	1,453	0.0
South	Africa	9.410	14.3	2,338	1.8
Sweden	3.143	78.1	3,491	48.5
Trinidad and Tobago	3.888	64.7	1,935	18.8
United Kingdom	2.876	72.4	4,907	48.5
United States	2.296	56.8	8,047	0.0
Venezuela	3.515	78.8	2,623	28.7
